target,best_method,comparison_method,mean_paired_difference,ci_lower,ci_upper,seed_blocks,bootstrap_resamples
alpha,Auto ABC,ABC-SMC,-0.08197520121458388,-0.15603405493994799,-0.00023423014287282385,5,20000
beta,Auto ABC,ABC-SMC,-0.02932916934764933,-0.10073126825085899,0.05032123905308746,5,20000
sigma_eta,Wasserstein ABC,Auto ABC,-0.024822067683454675,-0.06241853306529591,-0.004207620642299094,5,20000
long_run_log_variance,Wasserstein ABC,Auto ABC,-0.03269409854213899,-0.04841719981782809,-0.02046022020725194,5,20000
half_life_days,Auto ABC,ABC-SMC,-0.05695784057735177,-0.12214903695659143,0.02608974979343978,5,20000
stationary_log_volatility_variance,ABC-SMC,Manual ABC,-0.006035861138417623,-0.03865182352415027,0.03217760148442592,5,20000
