method,target,target_type,stage_type,stage_index,n_datasets,mean_bias,rmse,mean_absolute_error,mean_scaled_absolute_error,sd_scaled_absolute_error,median_scaled_absolute_error,q25_scaled_absolute_error,q75_scaled_absolute_error,scaled_error_iqr,coverage_rate,mean_interval_width,mean_simulator_calls,mean_runtime_seconds
Manual ABC,alpha,parameter,rejection_budget,0,10,-0.33695969072001264,0.33789995866015987,0.33695969072001264,0.2406854933714376,0.01896632790862268,0.24234409021700165,0.22617272941544067,0.2552748666742532,0.029102137258812527,1.0,1.2180258089757765,2000.0,
Manual ABC,beta,parameter,rejection_budget,0,10,-0.028555176516695334,0.028746974755473952,0.028555176516695334,0.191645479977821,0.023453099589118755,0.18641376321446076,0.17839204489742652,0.21308990810118092,0.0346978632037544,1.0,0.11427682061746913,2000.0,
Manual ABC,sigma_eta,parameter,rejection_budget,0,10,0.03195991708748604,0.03269620681102105,0.03195991708748604,0.07102203797219118,0.016162012327354522,0.07086961547345733,0.060706920168407424,0.07901073269612048,0.018303812527713056,1.0,0.3141744573178512,2000.0,
Manual ABC,long_run_log_variance,derived,rejection_budget,0,10,-0.7844630526598158,0.8128695180603757,0.7844630526598158,0.07844630526598165,0.022453550177929157,0.07671616474082918,0.06390568644489011,0.09011035007672112,0.026204663631831007,1.0,7.477046123084054,2000.0,
Manual ABC,half_life_days,derived,rejection_budget,0,10,-2.576625758226583,2.7617647373218634,2.576625758226583,0.19067180427177974,0.07754753170340106,0.1983603776767866,0.15381829710238176,0.22359906751069736,0.0697807704083156,1.0,29.703868592584694,2000.0,
Manual ABC,stationary_log_volatility_variance,derived,rejection_budget,0,10,-0.13417459689698433,0.13708939753228785,0.13417459689698433,0.1453558133050664,0.032110077633463206,0.14897675274399075,0.12282049756047374,0.16093906428251326,0.03811856672203952,1.0,0.9824334107836933,2000.0,
Manual ABC,alpha,parameter,rejection_budget,1,10,-0.3324062348535841,0.33293932147117605,0.3324062348535841,0.2374330248954172,0.014179902023666974,0.23399620921526065,0.22830314406402244,0.2412445668518482,0.012941422787825757,1.0,1.2023082589761704,5000.0,
Manual ABC,beta,parameter,rejection_budget,1,10,-0.02786940657003244,0.027919224377032297,0.02786940657003244,0.18704299711431166,0.011793905177494408,0.18705045302134293,0.18042866176722208,0.19343944576504524,0.013010783997823155,1.0,0.11427212218203578,5000.0,
Manual ABC,sigma_eta,parameter,rejection_budget,1,10,0.030838058144440166,0.031350171891429184,0.030838058144440166,0.06852901809875592,0.013219150489190977,0.06909072328527185,0.05679835374509809,0.08049095908909494,0.02369260534399685,1.0,0.31169467847791343,5000.0,
Manual ABC,long_run_log_variance,derived,rejection_budget,1,10,-0.8380717440824694,0.8512991637005499,0.8380717440824694,0.08380717440824702,0.015757191616607446,0.08855690062097964,0.07008622872398523,0.09791014376098003,0.0278239150369948,1.0,7.532147535470452,5000.0,
Manual ABC,half_life_days,derived,rejection_budget,1,10,-2.594124144836672,2.624644452887492,2.594124144836672,0.1919666950552543,0.031130948574066092,0.19056407146630414,0.1768972149206689,0.20792432677181574,0.031027111851146844,1.0,29.040050571415925,5000.0,
Manual ABC,stationary_log_volatility_variance,derived,rejection_budget,1,10,-0.1334992192884244,0.1350213629350812,0.1334992192884244,0.1446241542291265,0.02308646619343293,0.14774047453249392,0.1286425971454278,0.15056085392440505,0.02191825677897724,1.0,0.9816015172548983,5000.0,
Manual ABC,alpha,parameter,rejection_budget,2,10,-0.33754915575043665,0.33782147503396787,0.33754915575043665,0.24110653982174046,0.01021082876047578,0.24348852098141505,0.23498067988648655,0.248833090983859,0.013852411097372452,1.0,1.2176797905734769,10000.0,
Manual ABC,beta,parameter,rejection_budget,2,10,-0.02821573839461189,0.028232834577322934,0.02821573839461189,0.1893673717759187,0.006949739656774664,0.19099441404509487,0.18496079767135237,0.19425992783339208,0.009299130162039704,1.0,0.11512479116693934,10000.0,
Manual ABC,sigma_eta,parameter,rejection_budget,2,10,0.03121656882943811,0.03133123187584728,0.03121656882943811,0.0693701529543069,0.006273125720910873,0.07151085277252167,0.06798596981006975,0.07325541337989738,0.005269443569827628,1.0,0.3173561523427363,10000.0,
Manual ABC,long_run_log_variance,derived,rejection_budget,2,10,-0.8552311062423212,0.8594937706031182,0.8552311062423212,0.08552311062423221,0.009011903622494002,0.0859759498798362,0.08147306683199401,0.09166522522618238,0.01019215839418837,1.0,7.484745422740419,10000.0,
Manual ABC,half_life_days,derived,rejection_budget,2,10,-2.7114619721225486,2.7231318267803095,2.7114619721225486,0.20064976249975866,0.019644009949745776,0.1950549912938137,0.1863823209303194,0.21709221429343262,0.030709893363113222,1.0,28.3500117685765,10000.0,
Manual ABC,stationary_log_volatility_variance,derived,rejection_budget,2,10,-0.1352115273572386,0.13557159916971795,0.1352115273572386,0.14647915463700853,0.011275770116043091,0.14764827507302114,0.1434352649103413,0.15112974818976713,0.007694483279425818,1.0,0.9956867481850035,10000.0,
Manual ABC,alpha,parameter,rejection_budget,3,10,-0.33689958759961,0.3370748097196567,0.33689958759961,0.24064256257115,0.008182139401782225,0.24251947575766397,0.235440655685419,0.24510347606377914,0.009662820378360137,1.0,1.211471883310138,20000.0,
Manual ABC,beta,parameter,rejection_budget,3,10,-0.02803431066298632,0.028040926823517297,0.02803431066298632,0.18814973599319673,0.004309045250163844,0.18817685755053168,0.18500121721449606,0.1921381249052533,0.007136907690757255,1.0,0.11469625903908538,20000.0,
Manual ABC,sigma_eta,parameter,rejection_budget,3,10,0.03192774581150185,0.03196397083646297,0.03192774581150185,0.07095054624778188,0.0035636320542012465,0.07034102774407734,0.06963798525736105,0.07376094107560022,0.0041229558182391685,1.0,0.3157698665515724,20000.0,
Manual ABC,long_run_log_variance,derived,rejection_budget,3,10,-0.8752691569900877,0.878402268529219,0.8752691569900877,0.08752691569900886,0.007813413096250586,0.08959538658364474,0.07951917592787623,0.09396788231370783,0.014448706385831595,1.0,7.484712747748918,20000.0,
Manual ABC,half_life_days,derived,rejection_budget,3,10,-2.7523052424239776,2.7580762334957347,2.7523052424239776,0.2036721882501297,0.013910089084347592,0.19759820723312543,0.19298617495716844,0.2184317832132907,0.02544560825612227,1.0,26.309006261716746,20000.0,
Manual ABC,stationary_log_volatility_variance,derived,rejection_budget,3,10,-0.13102850254918869,0.1311713539685285,0.13102850254918869,0.14194754442828778,0.00698874760255651,0.14444689780100747,0.13905096711738585,0.14711495288360865,0.008063985766222803,1.0,0.9820780316646063,20000.0,
Auto ABC,alpha,parameter,rejection_budget,0,10,0.09760657734528558,0.09966867303316507,0.09760657734528558,0.0697189838180611,0.015185930860696941,0.07272532021697778,0.06345919119741457,0.07335969913509534,0.00990050793768077,1.0,0.8846894099968736,2000.0,
Auto ABC,beta,parameter,rejection_budget,0,10,0.00606579769648824,0.006380930597568214,0.00606579769648824,0.04071005165428348,0.01401092974032596,0.04147485671667183,0.036939894345567395,0.04551527422631324,0.008575379880745845,1.0,0.08585331167807793,2000.0,
Auto ABC,sigma_eta,parameter,rejection_budget,0,10,0.040825040222638706,0.042219722743766015,0.040825040222638706,0.09072231160586379,0.025209256403100913,0.08231918143701777,0.07275641512266186,0.11440718520087914,0.041650770078217283,1.0,0.35329089926679536,2000.0,
Auto ABC,long_run_log_variance,derived,rejection_budget,0,10,0.3621881480044376,0.6217934088982353,0.5142047296061207,0.05142047296061212,0.0368511328636334,0.05113243157931113,0.03115728817144368,0.06967433743935761,0.038517049267913925,1.0,12.462302054676346,2000.0,
