seed,stage_type,stage_index,method,target,target_type,mean,sd,q2.5,median,q97.5,true_value,bias,absolute_error,scaled_absolute_error,covered,interval_width,simulator_calls,runtime_seconds,training_inclusive_calls
0,rejection_budget,0,Manual ABC,alpha,parameter,-0.8680218476600404,0.32518740043152466,-1.47932199311277,-0.9122737479130171,-0.2942804040208944,-0.5,-0.3680218476600404,0.3680218476600404,0.2628727483286003,True,1.1850415890918755,2000,,2000
0,rejection_budget,0,Manual ABC,beta,parameter,0.9164958677487707,0.03188022837075839,0.8553412040020821,0.9196389491884822,0.9698857666374858,0.95,-0.03350413225122928,0.03350413225122928,0.22485994799482734,True,0.11454456263540369,2000,,2000
0,rejection_budget,0,Manual ABC,sigma_eta,parameter,0.33298484066632955,0.08057385674014568,0.19533754890504668,0.3309542647804893,0.474064072664819,0.3,0.03298484066632956,0.03298484066632956,0.0732996459251768,True,0.2787265237597723,2000,,2000
0,rejection_budget,0,Manual ABC,long_run_log_variance,derived,-10.620402252273054,2.33821346205012,-14.861981880330234,-10.527197080328541,-7.077429740365496,-9.999999999999991,-0.6204022522730632,0.6204022522730632,0.06204022522730638,True,7.784552139964737,2000,,2000
0,rejection_budget,0,Manual ABC,half_life_days,derived,9.627451823141378,5.040873540263683,4.436005095416393,8.27400009847846,22.668921621461916,13.513407333964874,-3.8859555108234964,3.8859555108234964,0.2875629672655879,True,18.23291652604552,2000,,2000
0,rejection_budget,0,Manual ABC,stationary_log_volatility_variance,derived,0.7500546225791535,0.25789334719515183,0.3378253203863795,0.7326424564878623,1.3979605847444716,0.9230769230769228,-0.17302230049776934,0.17302230049776934,0.18744082553925018,True,1.0601352643580921,2000,,2000
0,rejection_budget,1,Manual ABC,alpha,parameter,-0.8335378753486737,0.3111278583369228,-1.3948537963946828,-0.8546348394125352,-0.2937122070966409,-0.5,-0.33353787534867374,0.33353787534867374,0.23824133953476698,True,1.1011415892980418,5000,,5000
0,rejection_budget,1,Manual ABC,beta,parameter,0.9210544076098663,0.029637566651460216,0.8659470007592613,0.9216316155458114,0.9724984367006015,0.95,-0.028945592390133612,0.028945592390133612,0.19426572073915174,True,0.1065514359413402,5000,,5000
0,rejection_budget,1,Manual ABC,sigma_eta,parameter,0.3341342580343566,0.08002274991323748,0.18814746282689837,0.3338530505420783,0.474064072664819,0.3,0.0341342580343566,0.0341342580343566,0.07585390674301466,True,0.2859166098379206,5000,,5000
0,rejection_budget,1,Manual ABC,long_run_log_variance,derived,-10.765323105244091,2.227422101722734,-14.713700882846922,-10.664260775008383,-7.221346276682205,-9.999999999999991,-0.7653231052441001,0.7653231052441001,0.07653231052441008,True,7.492354606164717,5000,,5000
0,rejection_budget,1,Manual ABC,half_life_days,derived,10.249814723946667,6.086798950799068,4.815810522272126,8.49344271141984,24.85573487207132,13.513407333964874,-3.2635926100182076,3.2635926100182076,0.24150775073696085,True,20.039924349799193,5000,,5000
0,rejection_budget,1,Manual ABC,stationary_log_volatility_variance,derived,0.7875389602590944,0.24785694475437317,0.38697158326198294,0.7631269801459726,1.3890109066581973,0.9230769230769228,-0.13553796281782837,0.13553796281782837,0.14683279305264746,True,1.0020393233962144,5000,,5000
0,rejection_budget,2,Manual ABC,alpha,parameter,-0.8281210466007956,0.3176576706070988,-1.4141101377638996,-0.8458918545142798,-0.25299395345482134,-0.5,-0.32812104660079555,0.32812104660079555,0.2343721761434254,True,1.1611161843090783,10000,,10000
0,rejection_budget,2,Manual ABC,beta,parameter,0.9220782687955449,0.02949428585249266,0.866838161640437,0.9223255934408501,0.9750394341137194,0.95,-0.02792173120445507,0.02792173120445507,0.18739416915741655,True,0.10820127247328237,10000,,10000
0,rejection_budget,2,Manual ABC,sigma_eta,parameter,0.33311197623705824,0.0796362538425139,0.17518821344780533,0.3321826880062227,0.4774884395694463,0.3,0.03311197623705825,0.03311197623705825,0.073582169415685,True,0.302300226121641,10000,,10000
0,rejection_budget,2,Manual ABC,long_run_log_variance,derived,-10.81427015089782,2.2101412143175536,-14.788510184960483,-10.679289924936304,-7.2412797671690985,-9.999999999999991,-0.8142701508978281,0.8142701508978281,0.08142701508978288,True,7.5472304177913845,10000,,10000
0,rejection_budget,2,Manual ABC,half_life_days,derived,10.512972170720994,6.3878262948191455,4.850473791496984,8.572508947109393,27.421656494661256,13.513407333964874,-3.00043516324388,3.00043516324388,0.22203394666440085,True,22.571182703164272,10000,,10000
0,rejection_budget,2,Manual ABC,stationary_log_volatility_variance,derived,0.796266950596668,0.24989867792041615,0.412866012351326,0.7643121295637263,1.385054201028725,0.9230769230769228,-0.12680997248025483,0.12680997248025483,0.13737747018694277,True,0.9721881886773991,10000,,10000
0,rejection_budget,3,Manual ABC,alpha,parameter,-0.8285726713954243,0.32318470973836877,-1.431708338982113,-0.8286897960027794,-0.24750621054478694,-0.5,-0.32857267139542434,0.32857267139542434,0.23469476528244598,True,1.184202128437326,20000,,20000
0,rejection_budget,3,Manual ABC,beta,parameter,0.9219480823830597,0.02970244817621248,0.8617018604071902,0.9215354604229355,0.9753417727712378,0.95,-0.02805191761694026,0.02805191761694026,0.18826790346939767,True,0.11363991236404758,20000,,20000
0,rejection_budget,3,Manual ABC,sigma_eta,parameter,0.3312835660129562,0.07988887334208317,0.1710808813236182,0.3347062630072469,0.4761090335832652,0.3,0.03128356601295623,0.03128356601295623,0.06951903558434717,True,0.30502815225964697,20000,,20000
0,rejection_budget,3,Manual ABC,long_run_log_variance,derived,-10.783592737256594,2.2341155211367063,-14.71807994370328,-10.599710032816112,-7.2412797671690985,-9.999999999999991,-0.783592737256603,0.783592737256603,0.07835927372566036,True,7.476800176534182,20000,,20000
0,rejection_budget,3,Manual ABC,half_life_days,derived,10.543956081084813,6.485425412319954,4.6568095244879775,8.482597827774342,27.762163228086433,13.513407333964874,-2.969451252880061,2.969451252880061,0.21974111928207637,True,23.105353703598453,20000,,20000
0,rejection_budget,3,Manual ABC,stationary_log_volatility_variance,derived,0.7866123220823242,0.24865024887332154,0.37804008035449543,0.7602891520800843,1.354727527324067,0.9230769230769228,-0.13646460099459856,0.13646460099459856,0.1478366510774818,True,0.9766874469695717,20000,,20000
0,rejection_budget,0,Auto ABC,alpha,parameter,-0.3645241797401562,0.21208367653050236,-0.9228794209552217,-0.2956815622051989,-0.11164139433255671,-0.5,0.13547582025984378,0.13547582025984378,0.09676844304274557,True,0.811238026622665,2000,,7000
0,rejection_budget,0,Auto ABC,beta,parameter,0.9565249298128677,0.020545682126923315,0.907143412811964,0.9575223796580131,0.9869593083964469,0.95,0.006524929812867786,0.006524929812867786,0.04379147525414621,True,0.07981589558448288,2000,,7000
0,rejection_budget,0,Auto ABC,sigma_eta,parameter,0.3314506813635373,0.0932060514714795,0.13962271129566872,0.3380417165329186,0.49021165130879646,0.3,0.03145068136353729,0.03145068136353729,0.06989040303008287,True,0.35058894001312774,2000,,7000
0,rejection_budget,0,Auto ABC,long_run_log_variance,derived,-8.826717153323159,3.4921173900041107,-15.394363358241305,-8.529104922274842,-2.8425085304021818,-9.999999999999991,1.1732828466768321,1.1732828466768321,0.11732828466768332,True,12.551854827839124,2000,,7000
0,rejection_budget,0,Auto ABC,half_life_days,derived,19.946752669607626,10.876999790282328,7.112504709250813,15.968857376750204,52.8053077683544,13.513407333964874,6.433345335642752,6.433345335642752,0.4760712954661738,True,45.69280305910359,2000,,7000
0,rejection_budget,0,Auto ABC,stationary_log_volatility_variance,derived,1.7011638914207654,1.307569702785951,0.3007318177567107,1.2993287234880027,5.910957930703125,0.9230769230769228,0.7780869683438426,0.7780869683438426,0.8429275490391631,True,5.610226112946414,2000,,7000
0,rejection_budget,1,Auto ABC,alpha,parameter,-0.4023588348776107,0.22630918599114014,-0.9505378347750358,-0.3536756749579151,-0.11164139433255671,-0.5,0.0976411651223893,0.0976411651223893,0.06974368937313521,True,0.8388964404424791,5000,,10000
0,rejection_budget,1,Auto ABC,beta,parameter,0.9551206288309608,0.021544343353945082,0.907143412811964,0.9581374638184311,0.9867183439216778,0.95,0.005120628830960872,0.005120628830960872,0.03436663644940182,True,0.07957493110971381,5000,,10000
0,rejection_budget,1,Auto ABC,sigma_eta,parameter,0.3348522366031425,0.09388600932103665,0.13962271129566872,0.3440848759888049,0.4895530932598445,0.3,0.03485223660314252,0.03485223660314252,0.07744941467365003,True,0.34993038196417575,5000,,10000
0,rejection_budget,1,Auto ABC,long_run_log_variance,derived,-9.358315727337587,3.4788250154602567,-15.597458687102383,-9.040975730259174,-3.3709105345422534,-9.999999999999991,0.6416842726624044,0.6416842726624044,0.06416842726624049,True,12.226548152560131,5000,,10000
0,rejection_budget,1,Auto ABC,half_life_days,derived,19.679313273353635,11.652903540284568,7.112504709250813,16.208653118863477,51.84096377933144,13.513407333964874,6.165905939388761,6.165905939388761,0.4562806246424058,True,44.728459070080625,5000,,10000
0,rejection_budget,1,Auto ABC,stationary_log_volatility_variance,derived,1.6950375597177476,1.2888262717236638,0.2888362599427076,1.2677666512034222,5.188174283420779,0.9230769230769228,0.7719606366408248,0.7719606366408248,0.8362906896942272,True,4.899338023478072,5000,,10000
0,rejection_budget,2,Auto ABC,alpha,parameter,-0.4111000322844316,0.23880704113891274,-0.9505826442665849,-0.35556936970623654,-0.11164139433255671,-0.5,0.0888999677155684,0.0888999677155684,0.06349997693969173,True,0.8389412499340282,10000,,15000
0,rejection_budget,2,Auto ABC,beta,parameter,0.9554450750059789,0.02238858557119157,0.9023289496370819,0.9599868519823259,0.9875122590895773,0.95,0.0054450750059789055,0.0054450750059789055,0.0365441275569054,True,0.08518330945249541,10000,,15000
0,rejection_budget,2,Auto ABC,sigma_eta,parameter,0.34150932472390805,0.09600467352831034,0.1525126703338426,0.344963075142933,0.4927675210836935,0.3,0.04150932472390806,0.04150932472390806,0.0922429438309068,True,0.34025485074985085,10000,,15000
0,rejection_budget,2,Auto ABC,long_run_log_variance,derived,-9.622523771648922,3.5217395851085027,-15.759404138583971,-9.360248964722894,-3.8202775542252816,-9.999999999999991,0.3774762283510693,0.3774762283510693,0.037747622835106964,True,11.93912658435869,10000,,15000
0,rejection_budget,2,Auto ABC,half_life_days,derived,20.139709414123704,12.174931839056313,6.744242447830426,16.97405315432738,55.15891144346139,13.513407333964874,6.62630208015883,6.62630208015883,0.4903502067538619,True,48.41466899563097,10000,,15000
0,rejection_budget,2,Auto ABC,stationary_log_volatility_variance,derived,1.8049972467119297,1.4783664690503677,0.300589953753492,1.3557167121856595,5.363835354513149,0.9230769230769228,0.8819203236350069,0.8819203236350069,0.9554136839379245,True,5.063245400759658,10000,,15000
0,rejection_budget,3,Auto ABC,alpha,parameter,-0.4077025200752798,0.2384286943174412,-0.9847902135120801,-0.345935736166336,-0.11379153020609056,-0.5,0.0922974799247202,0.0922974799247202,0.06592677137480014,True,0.8709986833059895,20000,,25000
0,rejection_budget,3,Auto ABC,beta,parameter,0.9557907476679615,0.02181163211634318,0.9045080778854441,0.9595363007267734,0.9874644666728528,0.95,0.005790747667961504,0.005790747667961504,0.038864078308466464,True,0.08295638878740874,20000,,25000
0,rejection_budget,3,Auto ABC,sigma_eta,parameter,0.34398488173289155,0.09706100658590427,0.14953298825540223,0.3486477679261054,0.4918227452923072,0.3,0.043984881732891556,0.043984881732891556,0.0977441816286479,True,0.34228975703690495,20000,,25000
0,rejection_budget,3,Auto ABC,long_run_log_variance,derived,-9.596370523630362,3.605344466765852,-16.004920950091947,-9.473567357453012,-3.8071380801943135,-9.999999999999991,0.40362947636962865,0.40362947636962865,0.0403629476369629,True,12.197782869897633,20000,,25000
0,rejection_budget,3,Auto ABC,half_life_days,derived,20.105236459410254,12.20017411685589,6.90632976705305,16.7811397504541,54.94728813742815,13.513407333964874,6.591829125445379,6.591829125445379,0.48779918806098155,True,48.0409583703751,20000,,25000
0,rejection_budget,3,Auto ABC,stationary_log_volatility_variance,derived,1.831109719171264,1.500134068976173,0.3371180974308947,1.4326710462714995,6.017681629655413,0.9230769230769228,0.9080327960943412,0.9080327960943412,0.9837021957688699,True,5.680563532224518,20000,,25000
0,rejection_budget,0,Wasserstein ABC,alpha,parameter,-0.9831614999984869,0.34234284453507907,-1.456213260292444,-1.0571717852975309,-0.325386744474069,-0.5,-0.4831614999984869,0.4831614999984869,0.3451153571417764,True,1.130826515818375,2000,,2000
0,rejection_budget,0,Wasserstein ABC,beta,parameter,0.8993759196538604,0.034972972035271,0.8534510247261994,0.8902056810396192,0.9675549412919129,0.95,-0.05062408034613952,0.05062408034613952,0.33975892849758066,True,0.1141039165657135,2000,,2000
0,rejection_budget,0,Wasserstein ABC,sigma_eta,parameter,0.2612738933089794,0.12130829858777989,0.05177294152456838,0.24769573710239184,0.47325829135776326,0.3,-0.03872610669102061,0.03872610669102061,0.08605801486893469,True,0.42148534983319486,2000,,2000
0,rejection_budget,0,Wasserstein ABC,long_run_log_variance,derived,-9.779513093185034,0.3436568370545877,-10.390062298861992,-9.77716498072487,-9.218352335612781,-9.999999999999991,0.22048690681495664,0.22048690681495664,0.022048690681495682,True,1.17170996324921,2000,,2000
0,rejection_budget,0,Wasserstein ABC,half_life_days,derived,8.023249260061375,4.966969187162808,4.37407570848308,5.959852507352964,21.01524222101284,13.513407333964874,-5.490158073903499,5.490158073903499,0.40627488968710535,True,16.64116651252976,2000,,2000
0,rejection_budget,0,Wasserstein ABC,stationary_log_volatility_variance,derived,0.49618434417194424,0.4787635854993461,0.01664909253830636,0.3519743191980365,1.9971646507347565,0.9230769230769228,-0.42689257890497856,0.42689257890497856,0.4624669604803936,True,1.9805155581964502,2000,,2000
0,rejection_budget,1,Wasserstein ABC,alpha,parameter,-0.9800024398715756,0.3337975823638209,-1.456213260292444,-1.0447572447970797,-0.325386744474069,-0.5,-0.48000243987157565,0.48000243987157565,0.34285888562255407,True,1.130826515818375,5000,,5000
0,rejection_budget,1,Wasserstein ABC,beta,parameter,0.9002838346261189,0.03400930940048781,0.8529971179970539,0.8932628560377505,0.9675549412919129,0.95,-0.049716165373881016,0.049716165373881016,0.3336655394220202,True,0.11455782329485897,5000,,5000
0,rejection_budget,1,Wasserstein ABC,sigma_eta,parameter,0.27846098045800294,0.1256662318907749,0.05444031186838198,0.27445952158747766,0.48439295842525126,0.3,-0.02153901954199705,0.02153901954199705,0.047864487871104554,True,0.42995264655686927,5000,,5000
0,rejection_budget,1,Wasserstein ABC,long_run_log_variance,derived,-9.840268209958742,0.3378263901938191,-10.479435707709989,-9.839680516453251,-9.24216931689439,-9.999999999999991,0.15973179004124916,0.15973179004124916,0.01597317900412493,True,1.2372663908155985,5000,,5000
0,rejection_budget,1,Wasserstein ABC,half_life_days,derived,7.9948067821078395,4.7296706735879726,4.359440627363634,6.140872008959179,21.01524222101284,13.513407333964874,-5.518600551857035,5.518600551857035,0.40837964959336875,True,16.65580159364921,5000,,5000
0,rejection_budget,1,Wasserstein ABC,stationary_log_volatility_variance,derived,0.5544501153491433,0.4887854446441364,0.016886846308949748,0.4050018876204175,1.8726676049284814,0.9230769230769228,-0.36862680772777945,0.36862680772777945,0.3993457083717612,True,1.8557807586195316,5000,,5000
0,rejection_budget,2,Wasserstein ABC,alpha,parameter,-0.9710611377681455,0.328110728283591,-1.4456145489300825,-1.0225060410242865,-0.3182263760706423,-0.5,-0.4710611377681455,0.4710611377681455,0.3364722412629611,True,1.1273881728594402,10000,,10000
