dataset,method,block_length,mean_distance,sd_distance,median_distance,q025,q975,relative_distance,relative_q025,relative_q975
sp500,Auto ABC,1,4.032179031633755,0.0755701176252135,4.052444845290271,3.790037030730522,4.0529164138861535,1.0,0.9399476067397924,1.0051429716016345
sp500,Auto ABC,5,3.1393165362883595,0.10593709430079515,3.1659014818400033,2.833336717055131,3.259284229476955,0.7785657610089732,0.7026812784915261,0.8083183320747444
sp500,Auto ABC,20,0.9472075264418548,0.1423400218569329,0.9776900685872068,0.5318153553284226,1.1568375680000011,0.23491207087054017,0.13189279324061712,0.28690134017468827
sp500,Auto ABC,100,0.022429927470543055,0.007277734924040643,0.023059986732767605,0.008021867397492348,0.0318607776960865,0.005562731043084392,0.001989462108343452,0.00790162774175659
sp500,Manual ABC,1,7.327823364851407,0.2480137660227881,7.378956457638498,6.758171998409391,7.61436365708506,1.0,0.9222618589342092,1.0391030566604635
sp500,Manual ABC,5,5.78286631604034,0.26281026818400266,5.8423412717717245,5.05818446271948,6.076965078392809,0.7891656264230387,0.6902710683477357,0.8293001585629838
sp500,Manual ABC,20,1.061399465757667,0.14102576403998965,1.1014788633909807,0.6602958981941986,1.1994288827399722,0.14484512151981846,0.09010805328105613,0.16368146760921468
sp500,Manual ABC,100,0.16276444681624544,0.042927681033120516,0.17895607449115214,0.04768254312830516,0.20655623541137044,0.0222118409126727,0.006507054107911355,0.028187938645210367
sp500,Wasserstein ABC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp500,Wasserstein ABC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp500,Wasserstein ABC,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp500,Wasserstein ABC,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,Auto ABC,1,5.815952543982022,0.060076145201428136,5.834697687976437,5.59941471641555,5.842933071256521,1.0,0.9627682953172423,1.0046390556096294
synthetic,Auto ABC,5,5.7033799990942216,0.15576293633637736,5.743495406145216,5.219646548647515,5.8372473869612005,0.9806441775381604,0.8974706222540404,1.003661454046975
synthetic,Auto ABC,20,2.651486556743282,0.9566826131245576,3.0508587291982865,1.2989285030542816,3.7219835398053047,0.45589893258102177,0.22333891021829783,0.639961126171254
synthetic,Auto ABC,100,0.07659893600722295,0.05219379264588945,0.06390408401760536,0.014854757549673208,0.18429438003353643,0.013170488484553171,0.002554140089235076,0.03168773793112059
synthetic,Manual ABC,1,3.8623363200666834,0.23580916238173572,3.900262391635441,3.232929430974142,4.256454716450135,1.0,0.8370398543952603,1.1020414494552995
synthetic,Manual ABC,5,3.166231320079933,0.31084637271362087,3.251164168759856,2.6285843004428235,3.6953750769122373,0.8197710032732903,0.6805684649433742,0.9567719563190283
synthetic,Manual ABC,20,0.8344209015257807,0.15711085020876114,0.831688465482582,0.5397525249963253,1.106703769208133,0.21604045644356895,0.139747676087153,0.28653739019522406
synthetic,Manual ABC,100,0.09001616425761699,0.030601735886685813,0.08772938899549111,0.03064321975802714,0.13820203460586847,0.023306143431875675,0.007933855888939802,0.035781978355391486
synthetic,Wasserstein ABC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,Wasserstein ABC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,Wasserstein ABC,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,Wasserstein ABC,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
