feature_group,true_value,posterior_mean,posterior_median,posterior_sd,q025,q975,bias,absolute_error,covered
marginal,13.513407333964874,7.301080208477031,5.850945252510462,4.724882608621697,4.331605047911871,19.26371660812114,-6.212327125487843,6.212327125487843,True
temporal,13.513407333964874,19.24484896183169,15.175130452169522,13.992306736749164,7.173934671576391,52.49124668106939,5.731441627866815,5.731441627866815,True
full,13.513407333964874,21.8862276679567,17.587966262718798,15.422603554268553,7.453337110312533,62.17417368239131,8.372820333991825,8.372820333991825,True
