method,long_run_log_variance_absolute_error,long_run_log_variance_relative_error,long_run_log_variance_covered,half_life_days_absolute_error,half_life_days_relative_error,half_life_days_covered,stationary_log_volatility_variance_absolute_error,stationary_log_volatility_variance_relative_error,stationary_log_volatility_variance_covered,mean_relative_error
Manual ABC,0.7547901186627115,0.07547901186627122,True,3.0035432346558153,0.22226394575605282,True,0.12499880790081697,0.1354153752258851,True,0.14438611094940304
Auto ABC,0.16168522086295134,0.01616852208629515,True,8.372820333991822,0.6195935730396732,True,1.1501429768373104,1.2459882249070866,True,0.627250106677685
Wasserstein ABC,0.16763874344349539,0.016763874344349554,True,5.328805315488303,0.3943346917468235,True,0.37333632167258757,0.40444768181197,True,0.2718487493010477
ABC-SMC,0.9671196511142846,0.09671196511142854,True,1.0892292517228235,0.08060359795305899,True,0.12223225131588189,0.1324182722588721,True,0.10324461177445321
