beta_regime,sigma_eta_regime,method,target,target_type,n_datasets,mean_bias,rmse,mean_absolute_error,mean_scaled_absolute_error,sd_scaled_absolute_error,median_scaled_absolute_error,q25_scaled_absolute_error,q75_scaled_absolute_error,scaled_error_iqr,coverage_rate,mean_interval_width,mean_simulator_calls,mean_runtime_seconds
0.9,0.15,Manual ABC,alpha,parameter,5,-0.033310482321212385,0.05137248185766162,0.04902397834567527,0.03501712738976805,0.012262577866427106,0.03472885220606261,0.028059814329398004,0.04407176197784175,0.01601194764844375,1.0,1.0746372470955428,10000.0,
0.9,0.15,Manual ABC,beta,parameter,5,-0.0016850731397884734,0.004095576925567909,0.003794499965284093,0.025466442720027467,0.01156506604372797,0.028033051375756755,0.023004129640340067,0.0341167240362934,0.011112594395953333,1.0,0.11039481640485083,10000.0,
0.9,0.15,Manual ABC,sigma_eta,parameter,5,-0.011887096230091137,0.022219602661331002,0.020625895024936107,0.045835322277635794,0.020530494760466172,0.05185493047093123,0.04854888219358317,0.05694302536024758,0.008394143166664411,1.0,0.19004861752091404,10000.0,
0.9,0.15,Manual ABC,long_run_log_variance,derived,5,-0.35008647496282563,0.3507199212054316,0.35008647496282563,0.03500864749628256,0.002355639983229118,0.034134974365926496,0.03402512722223587,0.03672271184927176,0.0026975846270358914,1.0,6.172486045228387,10000.0,
0.9,0.15,Manual ABC,half_life_days,derived,5,0.9112126624214445,1.0580424932954242,0.9112126624214445,0.1385071434743596,0.0913830350268933,0.09066120881782012,0.08511508778958998,0.14445391469380914,0.059338826904219155,1.0,14.169521936441374,10000.0,
0.9,0.15,Manual ABC,stationary_log_volatility_variance,derived,5,-0.003733168106711085,0.03556941751203569,0.030506949500126602,0.25761424022329116,0.17267533758976733,0.24176691853974,0.2244120073079224,0.2566680014077996,0.0322559940998772,1.0,0.25179619605663484,10000.0,
0.9,0.15,Auto ABC,alpha,parameter,5,-0.04079511001727334,0.04218280235272299,0.04079511001727334,0.02913936429805239,0.008569486871122854,0.029740163645017383,0.028585976581029557,0.033473432422172884,0.0048874558411433275,1.0,0.9847540988714302,10000.0,
0.9,0.15,Auto ABC,beta,parameter,5,-0.011276190115611495,0.01254178611276614,0.011276190115611495,0.07567912829269459,0.041197296116060864,0.08236716880254281,0.0797274583200899,0.08564192051130869,0.005914462191218786,1.0,0.09619588235751966,10000.0,
0.9,0.15,Auto ABC,sigma_eta,parameter,5,-0.004224363687569133,0.011287514606174751,0.009365354088678168,0.02081189797484037,0.015654078626471443,0.02270269111096321,0.005858366672975876,0.035492142049338454,0.029633775376362578,1.0,0.22324772420598588,10000.0,
0.9,0.15,Auto ABC,long_run_log_variance,derived,5,0.5708252742951562,0.7789057684781757,0.7057634059439106,0.07057634059439107,0.03684294555933133,0.059513775261389415,0.05677017617757869,0.0709750335513462,0.014204857373767504,1.0,4.833891660501571,10000.0,
0.9,0.15,Auto ABC,half_life_days,derived,5,-0.11548387364038284,0.518898165785927,0.44112187629745525,0.06705188978349785,0.046437752543756566,0.03739273508506265,0.03543397773972386,0.11130750934511904,0.07587353160539519,1.0,8.749782445495857,10000.0,
