dataset,method,parameter,mean,sd,q2.5,median,q97.5,runtime_seconds,simulator_calls
real,Manual ABC,alpha,-0.6351337344657273,0.29854463406733683,-1.2899441087417327,-0.6015586458539268,-0.16444659599435818,19.355291100000613,10000
real,Manual ABC,beta,0.9423068982036247,0.024237107803627003,0.8939776433093772,0.9448794779956495,0.9835481710978895,19.355291100000613,10000
real,Manual ABC,sigma_eta,0.40715858811233746,0.07140582293049869,0.23610749613419585,0.4250719889152852,0.49524795801488514,19.355291100000613,10000
real,Auto ABC,alpha,-0.39130570690277416,0.2100670180633516,-0.8882866177267499,-0.35381744121577996,-0.11742539470497348,21.020592300003045,10000
real,Auto ABC,beta,0.9580697886135281,0.020214373810652143,0.9108361318658867,0.9606605850033173,0.9890510993148043,21.020592300003045,10000
real,Auto ABC,sigma_eta,0.37185593850997556,0.0931741184669969,0.1743562678705417,0.38991719355138843,0.4942288200264438,21.020592300003045,10000
real,Wasserstein ABC,alpha,-0.9435296401683962,0.3414123606824833,-1.4378882998126619,-1.014859108202565,-0.23459292563356948,21.514982900000177,10000
real,Wasserstein ABC,beta,0.9016575511191474,0.03571883096316915,0.8521454034055828,0.8943564641511068,0.9768479422857415,21.514982900000177,10000
real,Wasserstein ABC,sigma_eta,0.2855145856177154,0.1292581738121877,0.061504246937704316,0.2909139660683526,0.48967131742154546,21.514982900000177,10000
real,ABC-SMC,alpha,-0.586102692661303,0.28987550204957163,-1.2990026758711337,-0.540541272374289,-0.15904803529856854,34.62844259999838,17456
real,ABC-SMC,beta,0.9479065176457793,0.023003444498372227,0.8927063518238184,0.9512621691820637,0.9829728228252529,34.62844259999838,17456
real,ABC-SMC,sigma_eta,0.40858151015079863,0.07035365311590337,0.22676704146015658,0.4249049471908606,0.49675045399236617,34.62844259999838,17456
synthetic,Manual ABC,alpha,-0.8450236058902356,0.33507721519508793,-1.4563943077031765,-0.8412110650825148,-0.18986833712183837,20.36977000000479,10000
synthetic,Manual ABC,beta,0.9206177701471762,0.02998380874672491,0.8626158406930668,0.9211873251266757,0.9787073173736434,20.36977000000479,10000
synthetic,Manual ABC,sigma_eta,0.3363314005530421,0.08072532432072344,0.1816846702714277,0.3437350990466628,0.48365040923380487,20.36977000000479,10000
synthetic,Auto ABC,alpha,-0.38896463007075155,0.21867781227248442,-0.9259316983190081,-0.33682224811408634,-0.11195634835526636,22.167558799999824,10000
synthetic,Auto ABC,beta,0.9577953251534075,0.02081955670085322,0.9105811471356546,0.9613456928888139,0.9890147606740639,22.167558799999824,10000
synthetic,Auto ABC,sigma_eta,0.35109884024688287,0.09720986346539333,0.15328404851195718,0.36164909538405715,0.49142227250072185,22.167558799999824,10000
synthetic,Wasserstein ABC,alpha,-0.9945325353299079,0.33793382792567966,-1.4638562081039415,-1.0476205113963408,-0.24861351038931923,22.396190699997533,10000
synthetic,Wasserstein ABC,beta,0.8987949362741172,0.03432673284766927,0.8522528366075599,0.8915680056036204,0.9735907863911725,22.396190699997533,10000
synthetic,Wasserstein ABC,sigma_eta,0.27641207959100844,0.13070453976821444,0.05980844272169461,0.28637742360770746,0.49011923318253686,22.396190699997533,10000
synthetic,ABC-SMC,alpha,-0.7485601949571239,0.313767807357766,-1.3685000604004587,-0.7372059708142462,-0.2207967733916903,49.98318680000375,24006
synthetic,ABC-SMC,beta,0.930756759024025,0.02808644746888078,0.8739549664406457,0.9323857971275477,0.9813561986141504,49.98318680000375,24006
synthetic,ABC-SMC,sigma_eta,0.31466438279404124,0.07754317238904282,0.16592745097998127,0.3199941107077145,0.45838809308678174,49.98318680000375,24006
