Method,Lag,Observed,Predictive mean,Predictive SD,Predictive median,Predictive q2.5,Predictive q97.5,Posterior Predictive p-value,Replications
Wasserstein ABC,16,0.12201980712249062,0.027935181960866556,0.042064861636908576,0.019278013198769248,-0.0164873713599748,0.12073749249513323,0.024,1000
Wasserstein ABC,17,0.13534509012234386,0.02550560532623031,0.036088907046758,0.018110883404908767,-0.019657998036153958,0.12245435484901118,0.02,1000
Wasserstein ABC,18,0.09307756437211305,0.024134721083721403,0.03790995175291731,0.015388639970803718,-0.021907123464980218,0.1244530601233455,0.047,1000
Wasserstein ABC,19,0.06549705868657102,0.02275641732594936,0.03632234849755039,0.015241239721372462,-0.020926877714674105,0.12479375361350557,0.092,1000
Wasserstein ABC,20,0.10681645216635653,0.020146055923912713,0.03504269267357476,0.014009609511766993,-0.02236477246494783,0.10640230726316663,0.025,1000
ABC-SMC,1,0.45553741364152417,0.25361669685051585,0.08415915807846254,0.2447328457178718,0.12261462079984999,0.4398672853915019,0.021,1000
ABC-SMC,2,0.5189967262252652,0.23003095648732322,0.07844173650094324,0.21904311526928888,0.10793213770370919,0.409930663841666,0.003,1000
ABC-SMC,3,0.3248477049631809,0.21257706038468008,0.07687729329825893,0.20259756220192038,0.09025185615382314,0.3790092701858255,0.09,1000
ABC-SMC,4,0.30914095461859376,0.19540367330062808,0.07372089420467941,0.18433556377437002,0.07544265609045449,0.3670453968630883,0.064,1000
ABC-SMC,5,0.30602680022835566,0.17886131024751342,0.07198871556160712,0.17150092746640874,0.06293967169281516,0.34896326099719593,0.053,1000
ABC-SMC,6,0.3518423640948493,0.16333301900214972,0.06988376006458835,0.15144265084632735,0.05450388650176217,0.33183536992064844,0.016,1000
ABC-SMC,7,0.26051953089399454,0.14786742606384848,0.06675343796231062,0.13709055130203118,0.05042291769052547,0.30454562446111705,0.061,1000
ABC-SMC,8,0.3133283663865098,0.13847044290697014,0.06371890672613957,0.1305099626807686,0.0389102941918804,0.29700571286516786,0.015,1000
ABC-SMC,9,0.23829646462767579,0.12652702114770828,0.06215023757428684,0.11524859938659976,0.03126927000800039,0.2774227084207211,0.058,1000
ABC-SMC,10,0.235193053589144,0.11962190705298476,0.06333921470461115,0.10832282907964408,0.02883095941643357,0.27898621926741746,0.051,1000
ABC-SMC,11,0.19630610764201836,0.1084601345047241,0.0578439768488002,0.09709119981756378,0.02427649981503966,0.24893001632694478,0.086,1000
ABC-SMC,12,0.1615038603768994,0.1019066842573628,0.06043389234173889,0.08932356776007203,0.018876570248102936,0.26033469272405707,0.155,1000
ABC-SMC,13,0.15663702039007113,0.09646207849994806,0.06138963798511625,0.08419959530804011,0.01239618513454402,0.24880733746120556,0.14,1000
ABC-SMC,14,0.14768308226870533,0.09110383998217562,0.06107675060040431,0.07742520234136477,0.009917561453231851,0.2466420871581333,0.151,1000
ABC-SMC,15,0.1793028796892499,0.08346713550414173,0.05483933814198772,0.07181443216529743,0.00932433702154569,0.21942828312596238,0.072,1000
ABC-SMC,16,0.12201980712249062,0.07912603518300812,0.05536195406670261,0.06687344355432379,0.007749505792780729,0.21854752143738987,0.179,1000
ABC-SMC,17,0.13534509012234386,0.07306821250373985,0.05172784604531383,0.06148806003005451,0.006214230432753291,0.1971950506314782,0.123,1000
ABC-SMC,18,0.09307756437211305,0.06843559735471852,0.05192840300314048,0.0581537046214068,0.002434575989356445,0.1995698262408137,0.259,1000
ABC-SMC,19,0.06549705868657102,0.06363804672483102,0.050474782827838176,0.05228863043499969,0.0015711689277229676,0.20160662793335468,0.391,1000
ABC-SMC,20,0.10681645216635653,0.058937988871727576,0.04598085677427266,0.04891877340062922,-0.0027018326588978715,0.17187899730080589,0.152,1000
