seed,N,epsilon,accepted,alpha_mean,alpha_abs_error,beta_mean,beta_abs_error,sigma_eta_mean,sigma_eta_abs_error
0,1000,2.0,452,-1.0140922521189886,0.5140922521189886,0.9317661758496554,0.01823382415034458,0.24262607658462162,0.057373923415378364
0,1000,1.0,59,-0.9636472680193795,0.4636472680193795,0.9070539642571744,0.04294603574282552,0.33816698700644016,0.03816698700644017
0,1000,0.5,6,-0.8958278664595145,0.3958278664595145,0.910412621276791,0.039587378723208944,0.37677348739029726,0.07677348739029727
0,1000,0.2,0,,,,,,
0,1000,0.1,0,,,,,,
0,2000,2.0,915,-1.0260644618006218,0.5260644618006218,0.9338493640571234,0.01615063594287658,0.24334431940219486,0.056655680597805125
0,2000,1.0,116,-0.9433484685703946,0.44334846857039456,0.9093451132292019,0.04065488677079809,0.3330278935764971,0.0330278935764971
0,2000,0.5,14,-0.8673169316246739,0.36731693162467394,0.9131275668968205,0.03687243310317945,0.3547482838244204,0.05474828382442043
0,2000,0.2,1,-0.2005512477791771,0.2994487522208229,0.9800473129757131,0.03004731297571317,0.16730775912880474,0.13269224087119524
0,2000,0.1,0,,,,,,
0,5000,2.0,2309,-1.0406133384847847,0.5406133384847847,0.9329261488726239,0.017073851127376027,0.24533676544156213,0.054663234558437857
0,5000,1.0,300,-0.9759922865169574,0.47599228651695735,0.9059126378500165,0.04408736214998343,0.3434966428508181,0.04349664285081811
0,5000,0.5,25,-0.9140254345590939,0.4140254345590939,0.9080790666756343,0.04192093332436564,0.36413057795210674,0.06413057795210675
0,5000,0.2,1,-0.2005512477791771,0.2994487522208229,0.9800473129757131,0.03004731297571317,0.16730775912880474,0.13269224087119524
0,5000,0.1,0,,,,,,
0,10000,2.0,4654,-1.0414474686870325,0.5414474686870325,0.9320579799220238,0.017942020077976184,0.24269569997178422,0.057304300028215766
0,10000,1.0,588,-0.9656559126799754,0.4656559126799754,0.9065055182780405,0.043494481721959466,0.34300971608361647,0.04300971608361648
0,10000,0.5,47,-0.86574377257607,0.36574377257607005,0.9123803487313106,0.03761965126868938,0.35490902018211845,0.05490902018211846
0,10000,0.2,2,-0.5422132000301694,0.04221320003016937,0.944776464390725,0.00522353560927491,0.2395948979782024,0.06040510202179758
0,10000,0.1,0,,,,,,
0,20000,2.0,9305,-1.0434774918354401,0.5434774918354401,0.9322257664234544,0.017774233576545506,0.24449296925048633,0.05550703074951366
0,20000,1.0,1192,-0.9681669830932867,0.46816698309328675,0.90595271020728,0.04404728979271999,0.34443996189391995,0.044439961893919966
0,20000,0.5,100,-0.8418830047915833,0.3418830047915833,0.914848478456027,0.03515152154397294,0.3527989840929552,0.05279898409295519
0,20000,0.2,2,-0.5422132000301694,0.04221320003016937,0.944776464390725,0.00522353560927491,0.2395948979782024,0.06040510202179758
0,20000,0.1,0,,,,,,
1,1000,2.0,477,-1.0407416251200505,0.5407416251200505,0.9310577411651855,0.018942258834814485,0.23818224009596317,0.06181775990403682
1,1000,1.0,54,-0.944579893308829,0.44457989330882897,0.9088046977239984,0.041195302276001544,0.36072525040594033,0.060725250405940345
1,1000,0.5,6,-1.0261154367937226,0.5261154367937226,0.8961395899416335,0.053860410058366504,0.3965821467183321,0.0965821467183321
1,1000,0.2,0,,,,,,
1,1000,0.1,0,,,,,,
1,2000,2.0,962,-1.0482763092775123,0.5482763092775123,0.9310623049733345,0.018937695026665424,0.2380111683970264,0.06198883160297358
1,2000,1.0,105,-0.9640701570058443,0.4640701570058443,0.9071340743435454,0.04286592565645453,0.34779529367529416,0.04779529367529417
1,2000,0.5,7,-1.0272151835417402,0.5272151835417402,0.8960837392864323,0.0539162607135677,0.3868149327068445,0.08681493270684454
1,2000,0.2,0,,,,,,
1,2000,0.1,0,,,,,,
1,5000,2.0,2336,-1.032347923391265,0.5323479233912649,0.9326625782914318,0.017337421708568113,0.24154999363860083,0.05845000636139916
1,5000,1.0,290,-0.9634799508359261,0.4634799508359261,0.9069416239105229,0.043058376089477046,0.34694429088967826,0.046944290889678275
1,5000,0.5,28,-0.8688234298514991,0.3688234298514991,0.9122721155082797,0.037727884491720265,0.35401928915807496,0.05401928915807497
1,5000,0.2,0,,,,,,
1,5000,0.1,0,,,,,,
1,10000,2.0,4662,-1.0378561220077362,0.5378561220077362,0.9322259193552797,0.017774080644720303,0.24244676921841085,0.05755323078158914
1,10000,1.0,584,-0.9632032782125619,0.4632032782125619,0.9067834631169975,0.04321653688300242,0.34429552868234875,0.04429552868234876
1,10000,0.5,41,-0.8949889182813913,0.39498891828139127,0.9097387869032476,0.040261213096752346,0.3531812894339942,0.053181289433994194
1,10000,0.2,1,-0.45916351177699277,0.04083648822300723,0.9534120247775719,0.0034120247775719648,0.21272872055316638,0.0872712794468336
1,10000,0.1,0,,,,,,
1,20000,2.0,9211,-1.03882404743779,0.5388240474377901,0.9324393481559491,0.017560651844050867,0.2399909396404798,0.060009060359520194
