dataset,block_length,permutation,manual_distance,auto_distance,wasserstein_distance,squared_acf_1,squared_acf_5
synthetic,1,36,3.597817741344442,5.833057815198232,0.0,-0.0009310504466437486,0.014316571015304402
synthetic,1,37,3.7415377472458498,5.834697687976437,0.0,0.0028768599176381415,0.0033492370335801024
synthetic,1,38,3.693463725022382,5.834697687976437,0.0,0.008972333652548197,0.004272637226178357
synthetic,1,39,3.9758225174575914,5.834697687976437,0.0,-0.012669787444522478,-0.0062524884098869695
synthetic,1,40,3.5873844287702465,5.842933071256521,0.0,0.030436333264261876,0.0037814616010343827
synthetic,1,41,3.7363195987331053,5.835222081297485,0.0,0.026826808812773193,-0.004394561356856584
synthetic,1,42,3.700598845115774,5.834697687976437,0.0,-0.019598754468377673,0.015074605211489789
synthetic,1,43,3.6985862170972834,5.834697687976437,0.0,-0.025676472520902868,0.01791901447483519
synthetic,1,44,3.913397486795626,5.833057815198232,0.0,0.013750220945762823,-0.01135312555730983
synthetic,1,45,3.747090808051509,5.834697687976437,0.0,0.007320086322977047,0.001390083772371849
synthetic,1,46,3.7451532493954476,5.535076702240046,0.0,-0.0005072387018543372,0.004363677399616446
synthetic,1,47,3.6768683827056656,5.792363457782474,0.0,-0.003115916895052031,0.009884906791022987
synthetic,1,48,3.930944357877451,5.804619988078345,0.0,0.015200661402804532,-0.012910616437629335
synthetic,1,49,3.5412809084182624,5.832788309902653,0.0,0.0072654118852916805,0.014882239923489797
synthetic,1,50,4.274629879046757,5.808779373951141,0.0,-0.015130507073954752,-0.02470310840062502
synthetic,1,51,4.191825185474994,5.834697687976437,0.0,0.01740382486461802,-0.029672922869989845
synthetic,1,52,3.158223384043775,5.844303678989253,0.0,0.0013212017423570503,0.043981096023564197
synthetic,1,53,4.030091215296027,5.834697687976437,0.0,-0.030826768315807197,-0.002794393296740497
synthetic,1,54,4.2486888898910395,5.834697687976437,0.0,0.012837023021581198,-0.03184223154284467
synthetic,1,55,4.2153688548627155,5.834697687976437,0.0,0.011335651966839572,-0.02936198728696179
synthetic,1,56,3.9855759000737954,5.834697687976437,0.0,-0.012302237650445812,-0.007027569644092141
synthetic,1,57,3.4394503474815443,5.834697687976437,0.0,0.040424235589249694,0.009885139744426105
synthetic,1,58,3.890665837486615,5.832788309902653,0.0,-0.012830348165146636,-0.0005761405994094451
synthetic,1,59,3.7821139733990714,5.834697687976437,0.0,0.006232846533769426,-0.0004872871674786964
synthetic,1,60,3.921304569318064,5.803330128695993,0.0,-0.003047625240519301,-0.006197084157046952
synthetic,1,61,4.097223091006206,5.834697687976437,0.0,0.004369069850999548,-0.01989566012779731
synthetic,1,62,3.697881329203883,5.834748419405679,0.0,-0.005784461450070917,0.009529170043486827
synthetic,1,63,3.622125966457806,5.833057815198232,0.0,-0.013980927286590646,0.0180808155260344
synthetic,1,64,3.7157608707453065,5.833980371376194,0.0,0.005085505981649455,0.004224865286469203
synthetic,1,65,3.9579921628054824,5.834697687976437,0.0,0.01066462461371608,-0.013166618086918883
synthetic,1,66,4.129094545518924,5.676971116981094,0.0,-0.023553761039822957,-0.012260359227204703
synthetic,1,67,3.7973759418877515,5.834697687976437,0.0,0.03519573723934604,-0.010653344862243404
synthetic,1,68,4.056740896286414,5.834697687976437,0.0,-0.007867482312584453,-0.013238826668560785
synthetic,1,69,3.7486212517813264,5.834697687976437,0.0,0.007796979737589927,0.0011228134425056988
synthetic,1,70,3.9907787428488857,5.834697687976437,0.0,-0.002654658288597786,-0.010811629306575761
synthetic,1,71,3.8514338017133842,5.834697687976437,0.0,0.01587700818015547,-0.008142274118544656
synthetic,1,72,3.933761258833784,5.833980371376194,0.0,-0.01620149580488492,-0.002139471383147466
synthetic,1,73,4.023134914120933,5.834697687976437,0.0,-0.002855446758304607,-0.01281589219919472
synthetic,1,74,3.786703727862668,5.84423364819543,0.0,-0.0034899400543744814,0.0027475843977602214
synthetic,1,75,3.514376254288122,5.833057815198232,0.0,-0.013063268384576256,0.02520950802790391
synthetic,1,76,4.014890980367055,5.833980371376194,0.0,0.002908637410087944,-0.014230941973904135
synthetic,1,77,4.347760840652348,5.839932440569667,0.0,-0.005859063237723945,-0.03234671139500459
synthetic,1,78,4.0011604418333535,5.803545821534259,0.0,-0.0008783469812155942,-0.012086107998213753
synthetic,1,79,3.7248008574407625,5.802422877493929,0.0,-0.008879398676506934,0.008952075151650791
synthetic,1,80,3.890725796027829,5.839932440569667,0.0,0.005924259080614089,-0.0073468086321449915
synthetic,1,81,3.7623851367769667,5.833057815198232,0.0,-0.013949736141258868,0.008460808560521766
synthetic,1,82,3.710173319536277,5.835222081297485,0.0,0.024441563698436333,-0.0020111491341039747
synthetic,1,83,3.5984989202342756,5.833980371376194,0.0,0.011948822978980955,0.009369925773217807
synthetic,1,84,3.9836850599983245,5.834697687976437,0.0,-0.019869018198437,-0.004040549028751474
synthetic,1,85,4.1245125317920115,5.834697687976437,0.0,-0.005731808564263931,-0.018310400745374017
synthetic,1,86,3.728449936128603,5.834697687976437,0.0,0.016488717482786023,-0.0005700521966419732
synthetic,1,87,4.1686817615596805,5.832788309902653,0.0,0.02088125737518274,-0.02924368746188593
synthetic,1,88,4.12454921027252,5.803688934917929,0.0,-5.594898482990287e-05,-0.02019038757476892
synthetic,1,89,4.047412575455181,5.834697687976437,0.0,-0.005598990716815898,-0.013427676049926625
synthetic,1,90,3.9439730949680376,5.778023679206603,0.0,-0.022482693679841733,-0.0003526543440414029
synthetic,1,91,4.242373010666437,5.7952619109078825,0.0,-0.014571261785910634,-0.022832457637899525
synthetic,1,92,3.9620264547289112,5.834697687976437,0.0,0.0059018160389924966,-0.011871253976026522
synthetic,1,93,3.9398892524587015,5.827488658538762,0.0,-0.02119141637756941,-0.000593550499593175
synthetic,1,94,4.092724587312046,5.828868382177403,0.0,0.00659410116107634,-0.020318494976597583
synthetic,1,95,3.8796113127440957,5.834697687976437,0.0,-0.010474558914252178,-0.0007433910779498232
synthetic,1,96,3.7610108825096287,5.835222081297485,0.0,0.036894009645219876,-0.008916411493580703
synthetic,1,97,3.755637557546647,5.834697687976437,0.0,0.0034012492225501735,0.0022392641373720173
synthetic,1,98,3.9244780336736054,5.834697687976437,0.0,-0.004777821838409137,-0.005784388627384145
synthetic,1,99,4.057443931624362,5.833057815198232,0.0,0.002220414073246658,-0.016697037528616714
synthetic,1,100,4.037443563464197,5.833980371376194,0.0,0.019100758892784463,-0.020701727788468738
synthetic,5,1,3.727436762939176,5.818110271064302,0.0,0.1707033552734383,-0.029566745757249383
synthetic,5,2,3.5705056718265635,5.794228918516343,0.0,0.16824605081140762,-0.02087350532129178
synthetic,5,3,3.074295632926774,5.727189090541936,0.0,0.19896934107419117,0.004474980693729925
synthetic,5,4,2.946380880576286,5.747017630140379,0.0,0.16982695137853712,0.013001804615910639
synthetic,5,5,3.065486265226464,5.755489079548921,0.0,0.17303460392836384,0.006260994390455973
synthetic,5,6,3.3874876400427913,5.797711707833887,0.0,0.19386714014502374,-0.01228693804717707
synthetic,5,7,2.736724479169331,5.757732532757235,0.0,0.19858242171287968,0.02271924794825439
synthetic,5,8,3.0714287629792225,5.762311279595037,0.0,0.17529125597703296,0.005776556814826893
synthetic,5,9,2.835911002189552,5.764774683337942,0.0,0.17241867450675466,0.01881639961828583
synthetic,5,10,3.3661039470506884,5.653790152447822,0.0,0.17536180398921677,-0.010240001333792898
synthetic,5,11,3.0988477828266046,5.690229439575595,0.0,0.17651407871604105,0.0042029887472196815
synthetic,5,12,2.8015105281726624,5.728444344742351,0.0,0.17582008202070198,0.020425988999654955
synthetic,5,13,3.4681018217171053,5.8429676677561835,0.0,0.17742074366227967,-0.015900055343850226
synthetic,5,14,2.832053025411778,5.753802275472782,0.0,0.18099545189937227,0.01840447224948667
synthetic,5,15,3.3196087898174333,5.735557222163177,0.0,0.17026793535892082,-0.007367974978690164
synthetic,5,16,3.360969829709859,5.701896473525903,0.0,0.16213831869962683,-0.008983841086870507
synthetic,5,17,3.262278813132648,5.810813183223037,0.0,0.1666346563632186,-0.003969119051851803
synthetic,5,18,3.2700000444598145,5.738533900377427,0.0,0.16959994597427738,-0.004618585130784034
synthetic,5,19,3.4871055666758886,5.827915857037956,0.0,0.17087602875873953,-0.01652028870924987
synthetic,5,20,3.277999482770636,5.761456418219716,0.0,0.17037414228044206,-0.005111212517322684
synthetic,5,21,3.116069030517051,5.72912588947546,0.0,0.17866038328226316,0.0031291810409621516
synthetic,5,22,3.427771200137735,5.748182001552079,0.0,0.17125520850850603,-0.013320548032070207
synthetic,5,23,3.579198507693173,5.705412653578711,0.0,0.18017834541681982,-0.02207422244808967
synthetic,5,24,3.191130168326995,5.717585373053344,0.0,0.1766355747933964,-0.0008186102828323033
synthetic,5,25,3.382330944331495,5.6245504039539345,0.0,0.16958513621183383,-0.010731748337807183
synthetic,5,26,2.8064361812799863,5.780297789829674,0.0,0.17132296912617054,0.02051469225222926
synthetic,5,27,3.685553505292424,5.79838805338129,0.0,0.1732622927794765,-0.027451916241999344
synthetic,5,28,3.2369539484956356,5.739809778782996,0.0,0.1763739604549732,-0.0032906810280751014
synthetic,5,29,3.2944848977132386,5.741575540602503,0.0,0.16773324094472525,-0.005810597972938271
synthetic,5,30,3.3413285151108707,5.681581009301471,0.0,0.17593717216962435,-0.00893089242299609
synthetic,5,31,2.739050858792168,5.751519454590085,0.0,0.18213602011227784,0.023382586432185076
synthetic,5,32,3.325909250591779,5.824652137165654,0.0,0.17421393169086286,-0.007982880061027361
synthetic,5,33,3.5081473718265204,5.64907653007908,0.0,0.1798134336285882,-0.018204736023525184
synthetic,5,34,3.4022474532214297,5.729693850265984,0.0,0.16741031363876493,-0.011655815423310296
synthetic,5,35,2.8704273741746182,5.704879692048514,0.0,0.1626064423537896,0.017809850353170516
synthetic,5,36,3.7199655941020247,5.802188486804331,0.0,0.1767730459995781,-0.029521253944952627
synthetic,5,37,3.075874607935627,5.736902874489389,0.0,0.16664449624960814,0.0062000288898809205
synthetic,5,38,3.310523772977049,5.799024256044566,0.0,0.1860353427206504,-0.007812682155159319
synthetic,5,39,3.509166089606631,5.77634107630306,0.0,0.17210372653054146,-0.017801003469892874
synthetic,5,40,3.3877943863453295,5.741169284240215,0.0,0.1797164954686013,-0.01167533758711716
synthetic,5,41,2.652875826000824,5.7751586599486275,0.0,0.17574395853539293,0.028530443170724243
synthetic,5,42,3.3345979013734692,5.739989302894624,0.0,0.19239384464070933,-0.009377725872013822
synthetic,5,43,3.3783410225294164,5.78826959099106,0.0,0.16745267724947405,-0.010357080619096928
synthetic,5,44,3.310552123580145,5.809396427025017,0.0,0.17026817192482502,-0.006875139138136699
synthetic,5,45,2.856765858307679,5.670121626605238,0.0,0.1695758208377298,0.017914815527649626
synthetic,5,46,2.6376828718524035,5.3880534351837035,0.0,0.16898692676169574,0.029947376450540537
synthetic,5,47,3.005481865055312,5.701041689159446,0.0,0.1710414217438573,0.009680929425505896
synthetic,5,48,3.3795207241228256,5.657234193589771,0.0,0.17939446471426637,-0.011208690107233361
synthetic,5,49,2.7271747575720156,5.248083190451849,0.0,0.18169933814478811,0.024056012074681762
synthetic,5,50,2.6203522596436795,5.758594853033046,0.0,0.18472252096391478,0.029664939146756417
synthetic,5,51,2.9233852171604875,5.770797001916196,0.0,0.16604905080888407,0.014584423229405754
synthetic,5,52,3.253646157383289,5.798791238044148,0.0,0.18104068409744936,-0.004475678137226365
synthetic,5,53,2.127341363119159,5.7777156208225176,0.0,0.18681887381795026,0.056315430920354646
synthetic,5,54,3.3017709516250524,5.31884701026329,0.0,0.18672158142304376,-0.007370581421165298
synthetic,5,55,3.51640105467285,5.809437032958687,0.0,0.1677436196128047,-0.01789431779668782
synthetic,5,56,3.018497479261633,4.984890964562294,0.0,0.17726451876382252,0.008519562279682796
synthetic,5,57,3.3749413652559768,5.8063405046429395,0.0,0.19104333839104787,-0.011508701012566375
