feature_group,parameter,true_value,posterior_mean,posterior_median,posterior_sd,q025,q975,bias,absolute_error,covered,normalised_absolute_error
marginal,alpha,-0.5,-0.9742980158920695,-0.9859934342902654,0.29816848987623407,-1.4622689909890172,-0.2876691168518933,-0.47429801589206955,0.47429801589206955,True,0.33878429706576396
marginal,beta,0.95,0.894250492366788,0.8882804770619699,0.030702973837088757,0.8521260080644433,0.964627632568311,-0.05574950763321196,0.05574950763321196,True,0.3741577693504158
marginal,sigma_eta,0.3,0.3293398067261076,0.32996085376086515,0.0702525720239833,0.18115180657754154,0.4699961189667821,0.029339806726107587,0.029339806726107587,True,0.06519957050246131
temporal,alpha,-0.5,-0.4204324170854742,-0.3807636905864684,0.2446292897883661,-0.9753771533405119,-0.11002225823323794,0.07956758291452581,0.07956758291452581,True,0.05683398779608987
temporal,beta,0.95,0.9531046292194119,0.955350924419082,0.021515139746452396,0.9079007118362525,0.9868816901678427,0.003104629219411903,0.003104629219411903,True,0.02083643771417384
temporal,sigma_eta,0.3,0.36304528131688674,0.3738059092236699,0.08979772229615167,0.18673328601176517,0.49176747161067175,0.06304528131688675,0.06304528131688675,True,0.14010062514863722
full,alpha,-0.5,-0.3889646300707517,-0.33519462200743033,0.2188968186491283,-0.9189741984729856,-0.11198139201661929,0.11103536992924828,0.11103536992924828,True,0.07931097852089164
full,beta,0.95,0.9577953251534078,0.9613561725269679,0.020840407539029267,0.9111904896803142,0.9889123960730575,0.007795325153407862,0.007795325153407862,True,0.05231761847924739
full,sigma_eta,0.3,0.35109884024688304,0.3619300421227265,0.09730721938710465,0.15428986375889192,0.49121710596440027,0.05109884024688305,0.05109884024688305,True,0.11355297832640678
