Method,Median-curve ACF RMSE,Mean draw ACF RMSE,Draw ACF RMSE SD,Draw ACF RMSE q2.5,Draw ACF RMSE q97.5,Replications
Manual ABC,0.14312904011452304,0.14269199683241893,0.03270010344139558,0.07593341235487687,0.19813373680200705,1000
Auto ABC,0.13076428967934928,0.13404510770924175,0.032264498880888656,0.07610508958893003,0.1955368669847494,1000
Wasserstein ABC,0.20715959560296032,0.20144653629033143,0.04077303056121085,0.10735156111323346,0.260328651757087,1000
ABC-SMC,0.1328752341621526,0.13546193907157153,0.032538540402219984,0.07406648163338243,0.19788448558734686,1000
