N,epsilon,accepted,accepted_std,alpha_mean,alpha_mean_std,beta_mean,beta_mean_std,sigma_eta_mean,sigma_eta_mean_std,alpha_abs_error,alpha_abs_error_std,beta_abs_error,beta_abs_error_std,sigma_eta_abs_error,sigma_eta_abs_error_std
5000,0.1,0.0,0.0,,,,,,,,,,,,
5000,0.2,1.1,0.7378647873726218,-0.7171015166859269,0.3932145179187005,0.9273008761485677,0.04033241738687389,0.3305130942868415,0.1089736852079386,0.3418548568653614,0.27598826634485885,0.03502523733663595,0.028744516643107225,0.08822660128974912,0.06454277096695941
5000,0.5,24.9,5.404730438339279,-0.820093146976839,0.0839856098527639,0.9171544750412147,0.008335743011809792,0.3457871986488644,0.017171710816055587,0.320093146976839,0.0839856098527639,0.032845524958785136,0.008335743011809824,0.04578719864886446,0.017171710816055584
5000,1.0,294.7,18.000308639329226,-0.9591605401171538,0.022738022417965905,0.9071376867113775,0.0023904225300865,0.34027264034140375,0.007022724200658337,0.4591605401171539,0.022738022417965884,0.04286231328862239,0.002390422530086483,0.04027264034140378,0.007022724200658329
5000,2.0,2322.3,42.332152214494236,-1.040302686078198,0.007051566390825996,0.932578447969723,0.0008703332365457143,0.24169601731162776,0.003322287627759931,0.5403026860781981,0.007051566390826039,0.017421552030276934,0.0008703332365457421,0.058303982688372204,0.003322287627759926
10000,0.1,0.0,0.0,,,,,,,,,,,,
10000,0.2,2.0,1.0540925533894598,-0.7132524054648897,0.34708363012942617,0.9276227648668793,0.03551942855984999,0.32446564127925054,0.09543060958247163,0.30216293436652686,0.26372226806288707,0.030983455609985888,0.027411128222016676,0.07964509590487161,0.05219118084571045
10000,0.5,44.8,5.493430419854044,-0.8376768238733389,0.07137476508081626,0.9153686982203728,0.007119270495525421,0.34841896052992827,0.013656484797326273,0.33767682387333886,0.07137476508081621,0.034631301779627165,0.007119270495525403,0.04841896052992829,0.013656484797326292
10000,1.0,572.3,28.732675939888836,-0.9592299779482047,0.01773819126566817,0.907065581428928,0.001908497154198988,0.34009888954141687,0.004828071493860971,0.45922997794820464,0.0177381912656682,0.042934418571071886,0.0019084971541989868,0.04009888954141685,0.004828071493860954
10000,2.0,4629.3,63.658900049840305,-1.0424166157824428,0.00507989577480995,0.9324085031893017,0.0006364954609408315,0.24164738560303972,0.0027351899801306605,0.5424166157824428,0.005079895774809963,0.017591496810698336,0.0006364954609408462,0.05835261439696027,0.0027351899801306596
20000,0.1,0.1,0.31622776601683794,-0.766515911995387,,0.9228734070492866,,0.39214606898720933,,0.26651591199538704,,0.027126592950713402,,0.09214606898720934,
20000,0.2,2.8,1.3984117975602022,-0.7110265668642779,0.23306378393303034,0.9278587150062292,0.02365709319723566,0.32167176268528697,0.05961578679102295,0.27013091971965586,0.15073284968594242,0.02780173299970693,0.015669942780751178,0.05560711420452902,0.02530155855922492
20000,0.5,87.5,14.089002803605368,-0.8325915456257867,0.043974262762055814,0.9158299836316017,0.004407955819142177,0.3466179108175883,0.009008168105158854,0.3325915456257868,0.04397426276205584,0.034170016368398226,0.0044079558191421776,0.04661791081758835,0.00900816810515885
20000,1.0,1124.5,43.069065980636786,-0.9625171530635711,0.011426396402143693,0.9067949593974367,0.0011376239361045278,0.34026736211754094,0.0030138450279875496,0.4625171530635711,0.011426396402143697,0.043205040602563305,0.0011376239361045207,0.04026736211754094,0.003013845027987556
20000,2.0,9216.4,81.47010358271203,-1.0425789902858906,0.004647356241626618,0.9324633953684145,0.0004895373509519917,0.24154287043850986,0.002089725917197564,0.5425789902858906,0.004647356241626611,0.017536604631585472,0.0004895373509519722,0.05845712956149013,0.0020897259171975633
