dataset_id,replicate,data_seed,beta_regime,sigma_eta_regime,method,target,target_type,mean,sd,q2.5,median,q97.5,true_value,bias,absolute_error,scaled_absolute_error,covered,interval_width,simulator_calls,runtime_seconds
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Manual ABC,alpha,parameter,-0.9607162599388426,0.3157850867577716,-1.4594006955137429,-0.9858380208756922,-0.27310967155093757,-0.9999999999999998,0.0392837400611572,0.0392837400611572,0.028059814329398004,True,1.1862910239628053,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Manual ABC,beta,parameter,0.9052735670637391,0.032196804731502854,0.8528163115361103,0.9022593588097485,0.9742761568662222,0.9,0.005273567063739049,0.005273567063739049,0.035393067541872804,True,0.12145984533011189,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Manual ABC,sigma_eta,parameter,0.17184699698711242,0.05673606992440326,0.06663682724052841,0.1682920994719022,0.29130487530538335,0.15,0.021846996987112427,0.021846996987112427,0.04854888219358317,True,0.22466804806485494,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Manual ABC,long_run_log_variance,derived,-10.341349743659265,1.7959823897586427,-13.959275017054766,-10.14545283884658,-7.617391669714261,-10.0,-0.34134974365926496,0.34134974365926496,0.034134974365926496,True,6.341883347340505,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Manual ABC,half_life_days,derived,8.519449706281602,5.599418231864821,4.353636060190612,6.7391851450300635,26.597629690878026,6.578813478960585,1.9406362273210167,1.9406362273210167,0.2949827098043257,True,22.243993630687413,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Manual ABC,stationary_log_volatility_variance,derived,0.18048921642801022,0.08831797523831554,0.04367631066453552,0.17110154283646958,0.37801291427188005,0.11842105263157898,0.062068163796431236,0.062068163796431236,0.5241311609476413,True,0.3343366036073445,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Auto ABC,alpha,parameter,-1.0538339894478268,0.2635358913657482,-1.4626592004952355,-1.0804943451071032,-0.49126363336788326,-0.9999999999999998,-0.053833989447827024,0.053833989447827024,0.038452849605590735,True,0.9713955671273522,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Auto ABC,beta,parameter,0.8877272918484211,0.026450328424958883,0.8510115942836342,0.8830025180993564,0.9454653407768574,0.9,-0.012272708151578882,0.012272708151578882,0.08236716880254281,True,0.09445374649322325,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Auto ABC,sigma_eta,parameter,0.15263626500283914,0.06449380819542878,0.05253776817013264,0.14719061708575826,0.28840237201468816,0.15,0.0026362650028391443,0.0026362650028391443,0.005858366672975876,True,0.23586460384455551,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Auto ABC,long_run_log_variance,derived,-9.432298238224213,1.2330833600083555,-11.96117773455894,-9.26594192218376,-7.617391669714261,-10.0,0.5677017617757869,0.5677017617757869,0.05677017617757869,True,4.343786064844678,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Auto ABC,half_life_days,derived,6.3456999485933006,2.5103199782541976,4.296468209519041,5.570703449290205,12.360401226984607,6.578813478960585,-0.23311353036728466,0.23311353036728466,0.03543397773972386,True,8.063933017465565,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Auto ABC,stationary_log_volatility_variance,derived,0.1291595151962064,0.09423506702950193,0.014512138996509645,0.10664698558776912,0.34538725811530346,0.11842105263157898,0.010738462564627405,0.010738462564627405,0.0906803505457425,True,0.3308751191187938,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Wasserstein ABC,alpha,parameter,-1.0270352902389297,0.3325602465622798,-1.4747240265036505,-1.0865610897173488,-0.2686081284626829,-0.9999999999999998,-0.02703529023892992,0.02703529023892992,0.01931092159923566,True,1.2061158980409676,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Wasserstein ABC,beta,parameter,0.8986394477094705,0.033030229112131625,0.8524776249562782,0.8938397239490616,0.9722680284426632,0.9,-0.0013605522905295597,0.0013605522905295597,0.009131223426372882,True,0.11979040348638503,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Wasserstein ABC,sigma_eta,parameter,0.26041066288786197,0.12761654141855241,0.059518402114938904,0.26137213961885986,0.48365040923380487,0.15,0.11041066288786197,0.11041066288786197,0.24535702863969328,True,0.42413200711886595,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Wasserstein ABC,long_run_log_variance,derived,-10.143744164104788,0.3175161886189324,-10.703322831065362,-10.149550969845492,-9.60365056566547,-10.0,-0.1437441641047883,0.1437441641047883,0.014374416410478829,True,1.0996722653998923,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Wasserstein ABC,half_life_days,derived,7.940043330732419,5.44405356243893,4.3428011492323515,6.176197047039648,24.646316992622985,6.578813478960585,1.3612298517718342,1.3612298517718342,0.2069111483590656,True,20.303515843390635,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,Wasserstein ABC,stationary_log_volatility_variance,derived,0.47027796894053336,0.40144973468693507,0.017638796376964323,0.3913978290939244,1.4124274639681198,0.11842105263157898,0.3518569163089544,0.3518569163089544,2.971236182164503,True,1.3947886675911554,10000,
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,ABC-SMC,alpha,parameter,-0.9557893847883986,0.3333894431919511,-1.4775825546063688,-0.9829706614923859,-0.2636849260334681,-0.9999999999999998,0.04421061521160119,0.04421061521160119,0.03157901086542942,True,1.2138976285729006,19384,44.78039649999846
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,ABC-SMC,beta,parameter,0.9105659965767738,0.03146624190885977,0.8578727281309851,0.9079730018769279,0.9780111960807011,0.9,0.010565996576773817,0.010565996576773817,0.07091272870317997,True,0.12013846794971594,19384,44.78039649999846
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,ABC-SMC,sigma_eta,parameter,0.16090865798454673,0.04547010288025157,0.07288812988262941,0.1609379801902988,0.2483633398933897,0.15,0.010908657984546738,0.010908657984546738,0.02424146218788164,True,0.1754752100107603,19384,44.78039649999846
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,ABC-SMC,long_run_log_variance,derived,-10.825057514396512,1.7340146569993515,-14.167608114679327,-10.593929084913961,-8.127987560684616,-10.0,-0.8250575143965122,0.8250575143965122,0.08250575143965122,True,6.039620553994711,19384,44.78039649999846
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,ABC-SMC,half_life_days,derived,9.145408264150488,5.9589837913827814,4.521522007320798,7.179849030313578,31.174874470942317,6.578813478960585,2.5665947851899027,2.5665947851899027,0.39013034696879867,True,26.65335246362152,19384,44.78039649999846
beta_0.90_sigma_0.15_seed_202601,1,202601,0.9,0.15,ABC-SMC,stationary_log_volatility_variance,derived,0.16231799155042853,0.05940235295220632,0.06160349101992004,0.159516500415994,0.29905958671210847,0.11842105263157898,0.04389693891884955,0.04389693891884955,0.37068526198139606,True,0.23745609569218842,19384,44.78039649999846
beta_0.90_sigma_0.15_seed_202602,2,202602,0.9,0.15,Manual ABC,alpha,parameter,-1.0617004667689782,0.28769095254837773,-1.4726261506496916,-1.0983506210111633,-0.434404417213506,-0.9999999999999998,-0.061700466768978446,0.061700466768978446,0.04407176197784175,True,1.0382217334361856,10000,
beta_0.90_sigma_0.15_seed_202602,2,202602,0.9,0.15,Manual ABC,beta,parameter,0.8958230753450123,0.029603772699882496,0.8510016104326842,0.8916238670168656,0.957912851170381,0.9,-0.004176924654987757,0.004176924654987757,0.028033051375756755,True,0.10691124073769687,10000,
beta_0.90_sigma_0.15_seed_202602,2,202602,0.9,0.15,Manual ABC,sigma_eta,parameter,0.12437563858788858,0.047323758569605086,0.054200557949011234,0.11866765928285283,0.23400070256652655,0.15,-0.025624361412111413,0.025624361412111413,0.05694302536024758,True,0.1798001446175153,10000,
beta_0.90_sigma_0.15_seed_202602,2,202602,0.9,0.15,Manual ABC,long_run_log_variance,derived,-10.380397121896964,1.7583475788616045,-13.850442130905037,-10.158687109074028,-7.73202781357305,-10.0,-0.38039712189696395,0.38039712189696395,0.038039712189696394,True,6.118414317331987,10000,
beta_0.90_sigma_0.15_seed_202602,2,202602,0.9,0.15,Manual ABC,half_life_days,derived,7.138769765773653,3.345864054115019,4.296155794917878,6.042556772696287,16.120273693332294,6.578813478960585,0.5599562868130681,0.5599562868130681,0.08511508778958998,True,11.824117898414416,10000,
beta_0.90_sigma_0.15_seed_202602,2,202602,0.9,0.15,Manual ABC,stationary_log_volatility_variance,derived,0.08979075964660976,0.05841253715194437,0.01413931378177468,0.07815117139150449,0.23559716263220556,0.11842105263157898,-0.02863029298496922,0.02863029298496922,0.24176691853974,True,0.22145784885043088,10000,
beta_0.90_sigma_0.15_seed_202602,2,202602,0.9,0.15,Auto ABC,alpha,parameter,-1.0400203672134412,0.302850016521451,-1.4656140471258143,-1.0808633918792443,-0.4085889862382246,-0.9999999999999998,-0.04002036721344138,0.04002036721344138,0.028585976581029557,True,1.0570250608875897,10000,
beta_0.90_sigma_0.15_seed_202602,2,202602,0.9,0.15,Auto ABC,beta,parameter,0.898703998563779,0.02901448370385042,0.8523550277605799,0.8949755911894556,0.9590894538900868,0.9,-0.0012960014362209948,0.0012960014362209948,0.008697996216248286,True,0.1067344261295069,10000,
