method,alpha,beta,sigma_eta
Manual ABC,-0.6351337344657273,0.9423068982036247,0.40715858811233746
Auto ABC,-0.39130570690277416,0.9580697886135281,0.37185593850997556
Wasserstein ABC,-0.9435296401683962,0.9016575511191474,0.2855145856177154
ABC-SMC,-0.586102692661303,0.9479065176457793,0.40858151015079863
