dataset,method,quantity,mean,sd,q2.5,median,q97.5,true_value,bias,absolute_error,relative_absolute_error,covered
synthetic,Manual ABC,long_run_log_variance,-10.754790118662703,2.2349557073270376,-14.656114087674531,-10.671177862604182,-7.211624028502061,-9.999999999999991,-0.7547901186627115,0.7547901186627115,0.07547901186627122,True
synthetic,Manual ABC,half_life_days,10.509864099309059,7.069065373211064,4.69021404594537,8.443554504284656,32.20548769469816,13.513407333964874,-3.0035432346558153,3.0035432346558153,0.22226394575605282,True
synthetic,Manual ABC,stationary_log_volatility_variance,0.7980781151761058,0.2454442465322789,0.41296117481038497,0.7714216425417711,1.324402763486248,0.9230769230769228,-0.12499880790081697,0.12499880790081697,0.1354153752258851,True
synthetic,Auto ABC,long_run_log_variance,-9.83831477913704,3.8005496732951816,-17.08558538797685,-9.412293431047141,-3.878270971373613,-9.999999999999991,0.16168522086295134,0.16168522086295134,0.01616852208629515,True
synthetic,Auto ABC,half_life_days,21.886227667956696,15.407173231691552,7.399705953295857,17.583101432122724,62.750838395956514,13.513407333964874,8.372820333991822,8.372820333991822,0.6195935730396732,True
synthetic,Auto ABC,stationary_log_volatility_variance,2.0732198999142333,1.848609289775404,0.41456047875135366,1.5948454976075104,7.887850046056272,0.9230769230769228,1.1501429768373104,1.1501429768373104,1.2459882249070866,True
synthetic,Wasserstein ABC,long_run_log_variance,-9.832361256556496,0.3152587481029951,-10.4102969992639,-9.833514428931167,-9.297644444130626,-9.999999999999991,0.16763874344349539,0.16763874344349539,0.016763874344349554,True
synthetic,Wasserstein ABC,half_life_days,8.184602018476571,6.352823045421337,4.335637315425291,6.03925822539348,25.8982954809104,13.513407333964874,-5.328805315488303,5.328805315488303,0.3943346917468235,True
synthetic,Wasserstein ABC,stationary_log_volatility_variance,0.5497406014043352,0.4944072949484698,0.017237463872083948,0.44285945406185917,1.8345138306750384,0.9230769230769228,-0.37333632167258757,0.37333632167258757,0.40444768181197,True
synthetic,ABC-SMC,long_run_log_variance,-10.967119651114276,2.1674482102630477,-14.69071316706418,-10.956515086807462,-7.476935939781221,-9.999999999999991,-0.9671196511142846,0.9671196511142846,0.09671196511142854,True
synthetic,ABC-SMC,half_life_days,12.424178082242051,8.74215327822768,5.144849293222467,9.90088554383721,36.830764826436194,13.513407333964874,-1.0892292517228235,1.0892292517228235,0.08060359795305899,True
synthetic,ABC-SMC,stationary_log_volatility_variance,0.8008446717610409,0.24950643546950366,0.4297398147945744,0.7636828227369424,1.323479609380398,0.9230769230769228,-0.12223225131588189,0.12223225131588189,0.1324182722588721,True
real,Manual ABC,long_run_log_variance,-11.111451227743725,2.6962002801928966,-15.575072619673904,-11.144973897652777,-6.653546080756949,,,,,
real,Manual ABC,half_life_days,14.844082210140328,9.420396769260018,6.184699541689358,12.22527162060445,41.784390731951916,,,,,
real,Manual ABC,stationary_log_volatility_variance,1.6839037562839843,0.6746813068698044,0.8850980214994645,1.5534727938318953,3.2801120711663088,,,,,
real,Auto ABC,long_run_log_variance,-10.009266075451226,3.9052069223917654,-17.101027257220604,-9.672298520372916,-3.434564356719341,,,,,
real,Auto ABC,half_life_days,21.591337501628725,14.330981666598062,7.421889870042354,17.2707698539096,62.9602585627644,,,,,
real,Auto ABC,stationary_log_volatility_variance,2.2317922365433343,1.8315957719493978,0.5395022739414491,1.7280044988597236,7.317706326986783,,,,,
real,Wasserstein ABC,long_run_log_variance,-9.61731582015453,0.3343187060197177,-10.271603912697733,-9.599257361613033,-9.087406886906365,,,,,
real,Wasserstein ABC,half_life_days,8.654652464512452,6.543848717842225,4.3322211763403065,6.2081673085376945,29.590975104427628,,,,,
real,Wasserstein ABC,stationary_log_volatility_variance,0.637343268741891,0.6485429537438442,0.017237463872083948,0.4863571211811615,2.2802324946319006,,,,,
real,ABC-SMC,long_run_log_variance,-11.27716218123732,2.614918506316141,-15.878735967462687,-11.285162991301934,-6.783313439802024,,,,,
real,ABC-SMC,half_life_days,16.34011545565131,9.487612398331475,6.107153534063859,13.872494253218052,40.36071938051171,,,,,
real,ABC-SMC,stationary_log_volatility_variance,1.8819696466954996,0.7254621694908491,0.899195322646941,1.7596992389673922,3.661127225665064,,,,,
