Statistic,Real,Manual,Auto,Wasserstein,ABC-SMC
Variance,0.00011852881689568235,0.00041440801810490745,0.008440734508144173,9.703651511779432e-05,0.0003236335778715966
Kurtosis,16.19767992397794,14.89212706073332,25.568800375464015,6.559874078340221,17.128006004593182
ACF1,0.45553741364152417,0.24145520514286598,0.24805848773107492,0.13416998201555835,0.25361669685051585
ACF5,0.30602680022835566,0.16318707160052665,0.17848542367306056,0.0815035272164069,0.1788613102475136
