alpha,beta,sigma_eta,distance,weight
-0.29765450794230425,0.9567154138391608,0.4237217288000631,4.017195764573035,0.0018280423815318315
-0.33955262020410704,0.9653660549959224,0.4399831913112078,3.8739464633736076,0.001908011136036156
-0.540541272374289,0.9619291862485131,0.3285933008188683,3.971190726219151,0.0020604496546651322
-0.47614943365069173,0.9488164930803402,0.43198762119453693,4.417266802809721,0.0015707675882121817
-0.28521375691926976,0.9763736161382945,0.29911836466086084,1.1577878546781482,0.002698027819961866
-0.33074007943862865,0.9679293519672381,0.3955184465501137,2.2628436403239207,0.0018912313156467509
-0.3112413941557631,0.9658514580497228,0.3607123689370706,3.123895496348761,0.0019780978567366697
-0.5787893396372663,0.9328288624180842,0.4734827797782669,3.6863397315289186,0.001669386324768232
-0.6736438110144599,0.9528549812400426,0.48954669774222415,3.8220201357960604,0.0018540776161244269
-0.38327958853230554,0.9524608638880502,0.3591225114705643,4.090648311021626,0.0018157189508135028
-0.5907730574219179,0.9462731149265972,0.40714750071022765,3.8194966360641533,0.001531239139725021
-0.7050357236332057,0.9448029450978777,0.49897800138125414,1.9639798222894478,0.0018680841657720717
-0.47168035140671505,0.953012137145948,0.42297886216454766,3.615500507662354,0.0015833377143229087
-0.5310922396423231,0.9592934437156411,0.39192939856531367,4.104314429209808,0.0016443466222009575
-0.27754703342648185,0.9779340293637339,0.3878788252549079,2.800480090696818,0.0022197641229759293
-0.4627499913862882,0.9413521386939157,0.3796521954680569,4.222190789579706,0.0016730339906417767
-0.890714427655114,0.918380995687312,0.4636650904915217,4.081097110094462,0.0018350955274874985
-1.1377581671747927,0.9251128575903568,0.4397320648466779,3.841257878995416,0.0023020435984919246
-0.5368840865589439,0.9648758778024226,0.4200562992079387,4.544378051486767,0.0017016521279944355
-0.6736311807769589,0.947213581783164,0.42576888664219337,4.372997949472056,0.0015402970685058544
-1.0465306040387363,0.9281273613009283,0.47975936584832785,3.639062867737849,0.0021420326235830375
-0.6830752582105648,0.9258267509327632,0.4738933774874033,4.0855276943129,0.0016964146240978932
-0.4288320102874769,0.9476172895736042,0.435139451941687,2.421674704147871,0.0016156105855465227
-0.770982947002065,0.91803390090027,0.4663327979725124,3.5172042812878983,0.001767471601960208
-0.5221471287047501,0.965112325037546,0.2954384148983072,4.546018681570739,0.002515659453467252
-1.3365345595026583,0.9081999278091765,0.4607182504462893,3.753380275216051,0.0032691134725975762
-0.3554520360402986,0.9674842864095812,0.34629399862153265,4.458124596856476,0.0020232570756949795
-0.6153763545471322,0.938621393250986,0.43676286857804003,2.905549187939657,0.0015195794219855993
-1.3232819250218315,0.9040455874907455,0.4930886068271647,3.6318987793378192,0.003456702030604563
-0.5624217755579287,0.9385884583895483,0.4755016311492965,2.7890828559040886,0.0016666522390652932
-0.3394517623666766,0.9535600798049946,0.4642961243985354,4.146630539914594,0.0018930065375147576
-1.0239080602652515,0.9334458190570686,0.3939296492651477,4.543798610355431,0.002157666168385262
-0.9311604348354724,0.8818114528457304,0.4893467966878725,4.005151919908598,0.003283011722879065
-0.6707207717828462,0.9278876526728546,0.4262913653372488,4.576451836680207,0.0015808711095663158
-0.309645536456557,0.9603978403872989,0.4263055830490725,3.5720361826683185,0.001843513322648251
-0.396770664869478,0.961297433902447,0.3971052622294148,4.131989066558857,0.0017190817127088062
-0.45073139905684056,0.961976371909192,0.48561972757911037,3.5255081967254847,0.0020188353907059503
-0.5625237793396627,0.9414051972991505,0.46634734305175773,4.438986465226116,0.0016145359178799056
-0.7492288745056942,0.9466094819209953,0.4331926330325307,3.9956472588067427,0.0015918638111894878
-0.49052228435626205,0.9605910425402411,0.36801970821375984,3.654616840182639,0.0017472137628005658
-0.5078241987985588,0.947381458767806,0.4074428688454135,3.7746960690355476,0.0015490084221491873
-0.1992007430891769,0.982793769379149,0.3400028421267632,3.068818147994986,0.0026990378909715783
-0.31082699851812656,0.9783748906593677,0.2584457745884743,4.3642695324581275,0.003406354256876049
-0.41138659546262596,0.9471079683496769,0.37125830601199766,4.598646020423546,0.0017303282260102896
-0.6235056950582776,0.9349759283302502,0.48096220099818265,4.004300566702185,0.0016870780698738125
-0.713375510385153,0.9279632460394052,0.4074304180316965,4.4012250296638715,0.0016277967226444158
-0.5625650525791172,0.9613268537195419,0.33808195725703166,3.82960339507576,0.00197531902339325
-0.7781746265918281,0.934662663927697,0.4634649174314999,4.6476497880920995,0.0016395602848425289
